Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000109,,,Gravesham,x,x,x,x,7.61,54.42,x,x,21.13,x,x,15,x,x,14.69,x,x,3.03,7.14,8.08,92
E07000110,,,Maidstone,x,x,x,x,7.58,33.92,x,x,16.86,x,x,10.42,x,x,11.6,x,x,2.41,7.22,7.95,189
E07000111,,,Sevenoaks,x,x,x,x,7.38,32.8,x,x,23.01,x,x,9.96,x,x,14.75,x,x,3.03,6.93,7.83,128
E07000112,,,Shepway,x,x,x,x,7.61,33.33,x,x,21.02,x,x,11.98,x,x,12.69,x,x,2.6,7.22,8.01,149
E07000113,,,Swale,x,x,x,x,7.41,23.9,x,x,15.66,x,x,11.92,x,x,11.75,x,x,2.07,7.11,7.72,180
E07000114,,,Thanet,x,x,x,x,7.48,34.51,x,x,17.6,x,x,13.66,x,x,13.27,x,x,2.5,7.11,7.86,146
E07000115,,,Tonbridge and Malling,x,x,x,x,7.62,30.21,x,x,28.34,x,x,10.97,x,x,14.72,x,x,2.35,7.26,7.98,120
E07000116,,,Tunbridge Wells,x,x,x,x,7.15,25.92,x,x,20.84,x,x,10.76,x,x,12.84,x,x,3,6.72,7.57,137
E10000025,,Oxfordshire ,,8.02,18.7,44.42,28.86,7.36,12.69,6.02,10.02,8.06,15.74,21.66,4.97,40.07,48.76,6.38,25.24,32.48,1.06,7.21,7.52,888
E07000177,,,Cherwell,x,x,x,x,7.44,27.3,x,x,16.26,x,x,10.29,x,x,11.32,x,x,2.35,7.09,7.79,178
E07000178,,,Oxford,x,x,x,x,7.2,26.73,x,x,19.05,x,x,11.42,x,x,19.46,x,x,2.3,6.87,7.53,161
E07000179,,,South Oxfordshire,x,x,x,x,7.64,30.45,x,x,17.36,x,x,8.66,x,x,11.12,x,x,2.05,7.33,7.95,218
E07000180,,,Vale of White Horse,x,x,x,x,7.06,24.03,x,x,15.81,x,x,8.7,x,x,15.02,x,x,2.55,6.7,7.42,175
E07000181,,,West Oxfordshire,x,x,x,x,7.55,30,x,x,17.46,x,x,12.07,x,x,13.27,x,x,2.33,7.2,7.9,156
E10000030,,Surrey,,6.57,16.51,43.05,33.87,7.55,12.95,4.9,8.24,6.88,14.28,18.74,3.55,40.05,46.06,4.24,31.05,36.69,0.79,7.44,7.67,1422
E07000207,,,Elmbridge,x,x,x,x,7.56,37.24,x,x,15.64,x,x,9.95,x,x,12.25,x,x,1.97,7.27,7.86,177
E07000208,,,Epsom and Ewell,x,x,x,x,7.36,79.98,x,x,36.72,x,x,19.22,x,x,25.61,x,x,5.04,6.61,8.12,87
E07000209,,,Guildford,x,x,x,x,7.36,26.71,x,x,17.72,x,x,10.56,x,x,11.34,x,x,2.38,7.01,7.71,159
E07000210,,,Mole Valley,x,x,x,x,7.56,37.2,x,x,25.68,x,x,10.17,x,x,16.42,x,x,2.59,7.16,7.95,109
E07000211,,,Reigate and Banstead,7.41,17.47,42.35,32.77,7.49,19.39,4.54,10.29,18.38,11.05,23.89,10.38,33.56,51.15,13.04,24.22,41.31,1.97,7.2,7.79,154
E07000212,,,Runnymede,x,x,x,x,7.61,39.29,x,x,32.03,x,x,14.97,x,x,18.67,x,x,3.21,7.11,8.11,96
E07000213,,,Spelthorne,x,x,x,x,7.64,35.46,x,x,20.17,x,x,11.59,x,x,10.87,x,x,2.37,7.28,8.01,130
